id,name,english.grade,math.grade,sciences.grade,language.grade,nationality,city,gender,ethnic.group
1,Student_1,22.71,4.36,23.3,47.05,Canadian,London,Male,Group B
2,Student_2,6.4,5.77,26.98,35.15,Indian,Toronto,Female,Group E
3,Student_3,11.04,63.16,39.72,37.83,Australian,New York,Male,Group B
4,Student_4,85.43,96.31,1.26,4.06,Australian,Mumbai,Other,Group C
5,Student_5,54.5,87.87,65.16,27.25,Indian,Toronto,Other,Group E
6,Student_6,88.2,2.3,13.86,49.17,Indian,Mumbai,Other,Group E
7,Student_7,89.02,71.98,79.44,14.98,Canadian,Toronto,Other,Group A
8,Student_8,53.37,8.28,79.46,71.53,Indian,Toronto,Male,Group D
9,Student_9,14.63,90.9,78.3,79.11,Canadian,Toronto,Female,Group D
10,Student_10,36.77,33.67,37.66,2.35,Indian,New York,Male,Group D
11,Student_11,65.91,44.78,24.97,55.46,American,London,Male,Group C
12,Student_12,28.2,46.15,34.68,16.3,British,London,Male,Group C
13,Student_13,24.4,93.72,78.69,16.49,American,Sydney,Male,Group E
14,Student_14,30.14,98.59,61.22,8.72,Canadian,Sydney,Male,Group A
15,Student_15,1.94,23.58,49.19,46.57,Australian,London,Male,Group A
16,Student_16,40.65,56.43,24.2,32.88,Canadian,Sydney,Other,Group A
17,Student_17,70.66,36.81,96.11,66.17,Canadian,New York,Female,Group D
18,Student_18,73.47,2.04,11.4,11.82,American,New York,Female,Group D
19,Student_19,12.33,22.88,98.85,55.39,Indian,Sydney,Male,Group A
20,Student_20,86.76,84.85,46.34,40.92,American,London,Female,Group C
21,Student_21,38.59,30.36,49.45,91.43,Canadian,Sydney,Other,Group E
22,Student_22,39.6,51.95,55.49,20.2,Canadian,New York,Female,Group E
23,Student_23,95.63,28.28,35.07,36.94,British,Sydney,Male,Group B
24,Student_24,71.71,42.32,16.8,26.2,Australian,Toronto,Female,Group D
25,Student_25,72.96,93.36,16.0,78.16,Australian,Mumbai,Female,Group C
26,Student_26,14.55,71.85,22.84,54.77,Canadian,New York,Female,Group A
27,Student_27,1.21,97.33,2.53,17.62,Indian,Sydney,Other,Group B
28,Student_28,39.73,5.3,56.14,23.19,Australian,Mumbai,Male,Group D
29,Student_29,50.39,74.32,69.62,2.62,Canadian,Mumbai,Other,Group C
30,Student_30,88.77,40.32,82.58,80.12,Australian,Toronto,Other,Group E
31,Student_31,95.66,51.9,77.14,99.1,American,Sydney,Other,Group C
32,Student_32,86.93,77.01,43.4,76.43,American,Mumbai,Female,Group E
33,Student_33,4.24,26.47,55.23,25.9,British,Mumbai,Female,Group A
34,Student_34,36.03,62.88,8.24,17.88,Australian,London,Other,Group C
35,Student_35,27.42,24.04,79.62,95.5,Indian,Mumbai,Other,Group A
36,Student_36,61.74,74.92,28.25,37.58,British,New York,Male,Group A
37,Student_37,3.33,53.98,65.59,2.33,British,Sydney,Female,Group A
38,Student_38,33.13,90.94,0.29,63.36,Canadian,Mumbai,Male,Group A
39,Student_39,87.43,85.96,22.57,13.12,Australian,Toronto,Other,Group C
40,Student_40,50.63,25.47,86.84,16.88,Indian,London,Female,Group C
41,Student_41,15.65,89.33,48.46,7.37,Canadian,London,Female,Group B
42,Student_42,51.56,89.63,13.97,33.59,Indian,New York,Male,Group A
43,Student_43,2.38,5.82,84.06,81.79,Canadian,Mumbai,Male,Group B
44,Student_44,47.77,38.35,15.39,51.93,British,Mumbai,Male,Group C
45,Student_45,97.54,52.18,38.39,7.94,Canadian,New York,Male,Group B
46,Student_46,61.77,50.52,48.88,21.19,British,New York,Female,Group E
47,Student_47,99.92,19.68,20.1,33.47,Australian,Mumbai,Female,Group B
48,Student_48,44.88,47.85,94.45,97.69,American,Sydney,Other,Group B
49,Student_49,79.53,69.55,15.34,62.37,Indian,Mumbai,Male,Group C
50,Student_50,32.89,46.3,17.59,62.27,British,Toronto,Other,Group B
51,Student_51,91.66,64.69,63.2,21.49,Australian,Toronto,Other,Group E
52,Student_52,38.1,77.01,17.07,9.14,British,New York,Female,Group B
53,Student_53,92.2,40.66,46.79,99.59,American,London,Male,Group D
54,Student_54,48.88,75.41,1.75,40.87,British,London,Other,Group C
55,Student_55,48.6,66.18,66.43,37.34,American,Sydney,Other,Group E
56,Student_56,20.57,6.98,51.55,19.5,Australian,London,Other,Group D
57,Student_57,32.78,80.3,29.49,81.98,American,Mumbai,Other,Group C
58,Student_58,7.55,61.34,52.13,45.33,Canadian,Mumbai,Other,Group E
59,Student_59,51.09,38.37,68.23,68.49,Australian,Toronto,Other,Group D
60,Student_60,48.11,14.88,84.08,46.47,Indian,Sydney,Other,Group C
61,Student_61,40.16,74.78,20.58,69.42,British,London,Other,Group B
62,Student_62,31.3,82.31,50.17,70.72,Indian,Mumbai,Other,Group A
63,Student_63,92.73,36.91,13.86,39.15,Indian,New York,Male,Group C
64,Student_64,84.55,89.87,27.52,53.83,American,Toronto,Other,Group D
65,Student_65,37.22,13.72,61.33,62.97,British,Mumbai,Male,Group D
66,Student_66,13.02,62.15,21.47,8.97,British,Toronto,Other,Group D
67,Student_67,13.03,67.1,11.49,20.83,Canadian,Mumbai,Female,Group D
68,Student_68,3.22,34.68,20.43,40.0,British,London,Male,Group B
69,Student_69,30.92,62.63,59.86,73.93,American,Toronto,Other,Group A
70,Student_70,33.37,25.09,41.45,58.46,British,New York,Female,Group D
71,Student_71,75.68,70.21,18.48,32.31,Canadian,Sydney,Female,Group C
72,Student_72,71.42,34.94,39.92,61.66,British,London,Male,Group D
73,Student_73,39.62,95.41,64.76,83.88,British,London,Female,Group B
74,Student_74,22.0,4.53,52.5,60.77,Canadian,Toronto,Male,Group A
75,Student_75,37.7,68.86,70.52,76.64,Indian,Sydney,Male,Group E
76,Student_76,22.27,30.07,10.29,94.95,Indian,New York,Female,Group D
77,Student_77,70.21,87.98,50.95,3.28,Australian,New York,Female,Group E
78,Student_78,67.95,50.6,69.25,7.61,Australian,Sydney,Male,Group C
79,Student_79,20.49,44.66,93.88,35.01,American,Mumbai,Male,Group B
80,Student_80,0.85,45.57,22.3,32.59,Indian,Mumbai,Male,Group C
81,Student_81,6.59,91.04,98.94,98.34,Australian,London,Male,Group A
82,Student_82,33.88,42.33,30.0,32.42,Canadian,Sydney,Other,Group B
83,Student_83,19.25,75.35,67.49,60.64,Australian,New York,Female,Group A
84,Student_84,46.33,39.05,16.31,45.32,Canadian,Mumbai,Other,Group C
85,Student_85,70.65,66.46,59.04,83.88,American,New York,Male,Group E
86,Student_86,62.57,24.18,96.41,36.73,British,London,Female,Group B
87,Student_87,26.02,62.32,71.54,61.13,British,Mumbai,Female,Group B
88,Student_88,35.97,33.02,74.29,88.67,Indian,Mumbai,Male,Group A
89,Student_89,20.15,93.95,24.73,75.5,American,London,Female,Group B
90,Student_90,66.19,12.55,28.51,17.06,American,New York,Male,Group E
91,Student_91,70.43,92.74,86.6,77.0,Indian,New York,Other,Group D
92,Student_92,86.45,15.83,58.24,99.1,American,Sydney,Male,Group D
93,Student_93,84.47,9.71,40.17,16.26,American,London,Other,Group A
94,Student_94,74.71,66.32,32.01,86.08,Indian,Mumbai,Other,Group C
95,Student_95,38.45,8.52,57.33,32.65,Canadian,New York,Female,Group C
96,Student_96,24.59,99.25,37.53,3.4,Australian,Toronto,Male,Group D
97,Student_97,74.17,72.17,18.38,69.44,Indian,Mumbai,Female,Group E
98,Student_98,98.97,59.14,7.87,38.46,Canadian,Toronto,Female,Group A
99,Student_99,19.85,39.77,71.26,51.74,Indian,Toronto,Male,Group B
100,Student_100,98.03,8.09,38.48,68.22,Canadian,Sydney,Female,Group B
101,Student_101,33.44,68.96,29.83,68.68,Canadian,Sydney,Male,Group A
102,Student_102,24.42,14.68,86.49,26.7,Australian,New York,Female,Group B
103,Student_103,0.5,42.31,47.57,74.18,British,New York,Male,Group C
104,Student_104,66.13,33.84,59.86,52.31,American,Toronto,Male,Group C
105,Student_105,99.59,7.04,11.39,32.44,Indian,Toronto,Female,Group B
106,Student_106,27.31,69.95,66.36,46.02,Indian,New York,Other,Group D
107,Student_107,0.82,72.26,54.22,62.53,Canadian,London,Female,Group B
108,Student_108,41.56,98.69,16.42,56.94,Indian,Sydney,Other,Group D
109,Student_109,51.66,47.16,83.96,51.73,Australian,Toronto,Female,Group D
110,Student_110,40.1,39.47,70.52,54.39,American,London,Male,Group C
111,Student_111,12.5,76.97,83.65,8.94,American,London,Female,Group A
112,Student_112,36.61,37.4,66.13,47.82,American,Toronto,Female,Group E
113,Student_113,43.0,44.75,78.35,3.5,Australian,Toronto,Female,Group A
114,Student_114,35.09,22.75,84.75,86.2,Australian,Toronto,Female,Group B
