id,name,nationality,city,gender,ethnic.group,english.grade,math.grade,sciences.grade,language.grade
1,Student_1,UK,London,Male,Group_C,55,59,76,84
2,Student_2,Germany,Mumbai,Male,Group_B,61,72,55,96
3,Student_3,China,London,Male,Group_B,65,98,84,86
4,Student_4,Germany,Beijing,Male,Group_A,66,60,86,61
5,Student_5,Germany,New York,Male,Group_C,94,51,83,79
6,Student_6,India,London,Female,Group_B,72,75,69,69
7,Student_7,China,New York,Female,Group_B,63,85,74,86
8,Student_8,China,Mumbai,Female,Group_C,56,82,53,52
9,Student_9,China,New York,Female,Group_B,95,96,59,58
10,Student_10,Germany,Mumbai,Female,Group_B,81,62,59,90
11,Student_11,UK,Beijing,Female,Group_B,64,89,73,88
12,Student_12,China,Mumbai,Female,Group_C,93,74,70,75
13,Student_13,Germany,Mumbai,Male,Group_C,66,53,60,51
14,Student_14,India,Berlin,Male,Group_C,90,91,76,72
15,Student_15,UK,London,Female,Group_C,96,68,65,72
16,Student_16,India,London,Female,Group_A,93,67,75,70
17,Student_17,UK,Beijing,Male,Group_B,83,86,79,65
18,Student_18,Germany,Beijing,Male,Group_C,54,79,98,58
19,Student_19,USA,London,Male,Group_B,94,68,65,62
20,Student_20,UK,Berlin,Male,Group_B,76,72,56,77
21,Student_21,India,London,Female,Group_A,72,65,65,76
22,Student_22,Germany,Berlin,Male,Group_C,89,50,84,66
23,Student_23,UK,Beijing,Female,Group_C,63,61,65,87
24,Student_24,USA,New York,Female,Group_B,64,73,89,85
25,Student_25,USA,Beijing,Female,Group_C,92,83,61,50
26,Student_26,China,Beijing,Male,Group_B,82,57,84,67
27,Student_27,China,Mumbai,Male,Group_B,80,67,98,58
28,Student_28,India,Mumbai,Female,Group_A,84,97,70,62
29,Student_29,UK,Mumbai,Female,Group_A,66,54,99,89
30,Student_30,UK,Mumbai,Female,Group_A,77,75,92,94
31,Student_31,China,Berlin,Male,Group_B,68,79,85,64
32,Student_32,UK,London,Female,Group_C,95,62,97,92
33,Student_33,UK,New York,Male,Group_A,72,68,66,93
34,Student_34,USA,Beijing,Female,Group_C,81,78,81,95
35,Student_35,China,Berlin,Female,Group_A,89,52,90,53
36,Student_36,Germany,New York,Female,Group_A,62,75,55,82
37,Student_37,China,Berlin,Male,Group_B,69,89,73,73
38,Student_38,Germany,Berlin,Male,Group_A,84,61,76,85
39,Student_39,USA,Beijing,Female,Group_A,54,51,69,90
40,Student_40,India,London,Male,Group_B,58,60,74,59
41,Student_41,UK,Mumbai,Female,Group_C,78,93,51,85
42,Student_42,USA,London,Male,Group_A,55,77,58,69
43,Student_43,UK,Beijing,Male,Group_B,74,67,77,90
44,Student_44,India,Beijing,Male,Group_A,80,62,87,94
45,Student_45,India,Beijing,Female,Group_B,71,86,52,93
46,Student_46,USA,New York,Male,Group_C,51,71,69,60
47,Student_47,India,London,Male,Group_C,94,61,55,61
48,Student_48,Germany,London,Female,Group_B,54,51,88,67
49,Student_49,India,Berlin,Female,Group_B,76,86,82,79
50,Student_50,UK,Berlin,Female,Group_B,74,56,50,93
51,Student_51,UK,Berlin,Female,Group_C,57,75,86,97
52,Student_52,UK,Beijing,Male,Group_A,50,75,55,86
53,Student_53,UK,London,Male,Group_C,69,73,94,69
54,Student_54,Germany,Beijing,Male,Group_B,93,61,83,74
55,Student_55,China,New York,Male,Group_B,72,65,96,61
56,Student_56,USA,Berlin,Male,Group_C,81,72,64,70
57,Student_57,UK,Beijing,Female,Group_B,60,89,94,74
58,Student_58,India,Beijing,Male,Group_C,88,58,75,60
59,Student_59,UK,New York,Male,Group_B,96,81,63,58
60,Student_60,India,Mumbai,Male,Group_A,73,64,56,99
61,Student_61,India,London,Female,Group_A,60,86,95,74
62,Student_62,UK,Mumbai,Female,Group_B,78,62,80,84
63,Student_63,Germany,Berlin,Male,Group_C,75,54,73,81
64,Student_64,India,Beijing,Female,Group_A,65,60,80,98
65,Student_65,India,New York,Female,Group_C,84,59,78,63
66,Student_66,UK,New York,Female,Group_B,69,62,91,50
67,Student_67,India,London,Female,Group_C,95,90,81,66
68,Student_68,India,Mumbai,Female,Group_A,52,95,66,74
69,Student_69,UK,London,Female,Group_C,50,99,63,57
70,Student_70,UK,Beijing,Female,Group_C,96,64,89,54
71,Student_71,USA,London,Male,Group_B,50,91,85,54
72,Student_72,Germany,New York,Male,Group_B,66,56,97,90
73,Student_73,Germany,New York,Female,Group_B,51,89,73,84
74,Student_74,India,Berlin,Male,Group_A,78,77,94,68
75,Student_75,Germany,Berlin,Male,Group_A,69,81,76,72
76,Student_76,India,Beijing,Female,Group_B,55,84,74,58
77,Student_77,USA,Mumbai,Male,Group_B,57,64,81,79
78,Student_78,UK,London,Female,Group_A,78,97,67,99
79,Student_79,UK,Beijing,Female,Group_A,97,85,95,65
80,Student_80,UK,Berlin,Female,Group_A,82,70,67,82
81,Student_81,Germany,London,Male,Group_A,52,55,86,51
82,Student_82,USA,Berlin,Male,Group_B,84,50,75,63
83,Student_83,Germany,London,Male,Group_A,54,53,58,95
84,Student_84,Germany,Mumbai,Male,Group_B,76,60,84,50
85,Student_85,USA,Beijing,Female,Group_C,93,93,57,75
86,Student_86,USA,London,Female,Group_C,61,75,69,74
87,Student_87,USA,New York,Male,Group_A,69,86,91,65
88,Student_88,USA,New York,Female,Group_C,94,72,71,64
89,Student_89,UK,London,Female,Group_C,69,78,68,75
90,Student_90,China,London,Male,Group_C,58,70,79,96
91,Student_91,China,London,Female,Group_A,88,97,77,93
92,Student_92,USA,New York,Male,Group_A,53,94,84,65
93,Student_93,China,New York,Female,Group_C,68,94,92,63
94,Student_94,China,London,Male,Group_B,87,98,60,78
95,Student_95,USA,Berlin,Female,Group_C,76,76,80,73
96,Student_96,China,Berlin,Female,Group_A,94,88,98,96
97,Student_97,Germany,Mumbai,Male,Group_A,92,89,97,64
98,Student_98,India,Beijing,Male,Group_A,62,62,88,68
99,Student_99,India,Berlin,Male,Group_C,62,72,85,57
100,Student_100,USA,New York,Male,Group_B,71,65,79,83
101,Student_101,UK,Berlin,Female,Group_A,77,79,72,51
102,Student_102,USA,Mumbai,Female,Group_A,96,53,68,76
103,Student_103,UK,Mumbai,Male,Group_C,94,89,61,59
104,Student_104,India,Beijing,Female,Group_B,71,65,64,84
105,Student_105,USA,Berlin,Male,Group_C,92,80,80,72
106,Student_106,Germany,New York,Male,Group_A,68,91,92,98
107,Student_107,China,New York,Female,Group_B,57,74,86,57
108,Student_108,UK,London,Female,Group_B,57,93,86,77
109,Student_109,China,New York,Male,Group_A,91,61,64,72
110,Student_110,China,Beijing,Male,Group_B,75,75,78,53
111,Student_111,USA,Beijing,Male,Group_B,97,86,99,63
112,Student_112,China,New York,Female,Group_C,75,97,92,91
113,Student_113,Germany,New York,Female,Group_A,72,82,75,78
114,Student_114,China,London,Female,Group_A,92,77,93,50
115,Student_115,USA,New York,Female,Group_A,62,58,51,53
116,Student_116,Germany,London,Male,Group_A,77,61,69,81
117,Student_117,India,London,Male,Group_A,58,54,64,82
118,Student_118,China,New York,Male,Group_B,69,77,53,98
119,Student_119,USA,Mumbai,Male,Group_C,68,84,71,75
120,Student_120,India,Mumbai,Male,Group_A,97,54,99,66
121,Student_121,India,London,Male,Group_C,88,83,87,88
